,shot_id,action_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_zone_area,opponent,game_date
30,1573,Running Jump Shot,33.9193,-33,125,-118.3028,3,3,0,Jan-00,36,12,0.0,Center(C),POR,-1.1694745
31,8769,Layup Shot,34.0503,11,-6,-118.2588,0,4,1,Feb-01,5,1,1.0,Center(C),SAS,-0.85365456
32,20429,Jump Shot,33.9143,133,130,-118.1368,11,2,0,Apr-03,23,18,0.0,Right Side Center(RC),PHX,-0.5491544
33,25391,Driving Finger Roll Shot,34.0443,0,0,-118.2698,4,1,0,Jun-05,46,0,,Center(C),GSW,-0.08617821
34,9940,Layup Shot,34.0443,-13,0,-118.2828,5,2,1,Dec-11,15,1,1.0,Center(C),OKC,1.2150226
35,19888,Jump Shot,33.7963,-61,248,-118.3308,1,1,0,May-04,56,25,,Center(C),PHI,-0.26616162
36,2496,Pullup Jump shot,33.9443,141,100,-118.1288,7,3,0,2015-16,45,17,0.0,Right Side(R),BKN,1.9343901
37,17330,Jump Shot,33.8393,-7,205,-118.2768,8,1,1,Dec-11,25,20,,Center(C),DEN,1.2127585
38,15003,Jump Shot,33.8833,128,161,-118.1418,5,2,0,Aug-07,5,20,,Right Side Center(RC),LAC,0.30321983
39,27960,Jump Shot,33.8783,63,166,-118.2068,7,2,0,1999-00,47,17,,Right Side Center(RC),SAS,-1.2860675
40,8640,Jump Shot,33.9863,94,58,-118.1758,4,4,0,Jul-06,54,11,1.0,Right Side(R),PHX,0.14078198
41,2506,Step Back Jump shot,33.9333,96,111,-118.1738,7,4,0,2015-16,37,14,0.0,Right Side(R),BOS,2.018722
42,20664,Jump Shot,33.9143,-169,130,-118.4388,8,2,0,1999-00,54,21,,Left Side Center(LC),MIA,-1.2968212
43,24073,Layup Shot,34.0443,0,0,-118.2698,8,1,0,May-04,22,0,0.0,Center(C),TOR,-0.3097425
44,6089,Running Jump Shot,33.9673,-46,77,-118.3158,4,3,0,Mar-02,30,8,1.0,Left Side(L),UTA,-0.7036684
45,28170,Layup Shot,34.0443,0,0,-118.2698,5,1,0,Mar-02,15,0,,Center(C),MIN,-0.7387595
46,22205,Jump Shot,33.9573,-113,87,-118.3828,11,3,0,1998-99,4,14,,Left Side(L),PHX,-1.4966141
47,6329,Jump Shot,33.9153,-207,129,-118.4768,4,4,0,Oct-09,22,24,1.0,Left Side Center(LC),WAS,0.74016064
48,16630,Jump Shot,33.8663,-29,178,-118.2988,4,2,0,Oct-09,31,18,0.0,Center(C),NOH,0.70846546
49,22034,Jump Shot,33.9883,-65,56,-118.3348,6,2,1,Oct-09,57,8,0.0,Left Side(L),OKC,0.7888354
50,6428,Jump Shot,34.0143,158,30,-118.1118,3,3,0,Jul-06,26,16,0.0,Right Side(R),NYK,0.13002826
51,9363,Layup Shot,34.0443,0,0,-118.2698,10,3,0,Aug-07,4,0,0.0,Center(C),MEM,0.31906742
52,25885,Jump Shot,34.0643,-142,-20,-118.4118,2,4,0,1996-97,17,14,0.0,Left Side(L),ORL,-1.9154434
53,26655,Jump Shot,33.9783,-42,66,-118.3118,0,1,0,1997-98,4,7,0.0,Center(C),POR,-1.7156506
54,6535,Jump Shot,33.9563,-235,88,-118.5048,8,4,0,Oct-09,58,25,0.0,Left Side Center(LC),IND,0.7599701
55,25909,Hook Shot,33.9923,25,52,-118.2448,5,3,0,2015-16,23,5,0.0,Center(C),OKC,1.9700472
56,14625,Jump Shot,33.9343,-44,110,-118.3138,5,4,1,Jan-00,21,11,0.0,Center(C),SAS,-1.0562774
57,29092,Jump Shot,33.9353,-55,109,-118.3248,0,1,0,1997-98,41,12,1.0,Center(C),LAC,-1.7501757
58,22586,Jump Shot,33.8393,135,205,-118.1348,9,3,0,2015-16,0,24,,Right Side Center(RC),CHI,1.9949505
59,11766,Jump Shot,33.8243,107,220,-118.1628,6,4,1,Apr-03,38,24,0.0,Right Side Center(RC),HOU,-0.44784296
60,1012,Jump Shot,33.8133,97,231,-118.1728,6,3,0,Oct-09,24,25,0.0,Right Side Center(RC),PHI,0.7577062
61,25699,Jump Shot,33.9533,-64,91,-118.3338,4,2,0,Dec-11,12,11,,Left Side(L),SAS,1.2014389
62,14741,Jump Shot,33.8953,-86,149,-118.3558,2,4,0,Nov-10,37,17,,Left Side Center(LC),POR,0.96259296
63,27956,Jump Shot,33.8453,49,199,-118.2208,4,2,0,Aug-07,51,20,1.0,Center(C),SEA,0.3196334
64,9072,Jump Shot,33.8873,-188,157,-118.4578,10,1,0,Sep-08,41,24,1.0,Left Side Center(LC),NYK,0.5375378
65,1035,Jump Shot,33.8113,148,233,-118.1218,3,2,0,Jun-05,51,27,0.0,Right Side Center(RC),NJN,-0.058444925
66,15382,Jump Shot,34.0473,-192,-3,-118.4618,2,4,0,Jun-05,41,19,0.0,Left Side(L),LAC,-0.07033062
67,2271,Jump Shot,34.0083,-27,36,-118.2968,10,3,1,Jan-00,36,4,,Center(C),PHI,-1.0409958
68,697,Fadeaway Jump Shot,34.0303,70,14,-118.1998,5,4,0,2014-15,2,7,0.0,Center(C),CHA,1.7295034
69,28401,Jump Shot,34.0293,236,15,-118.0338,2,2,0,May-04,58,23,0.0,Right Side(R),ORL,-0.33577782
70,11779,Jump Shot,33.8833,-181,161,-118.4508,0,1,0,Jun-05,30,24,1.0,Left Side Center(LC),ORL,-0.06806668
71,3705,Jump Shot,33.8853,-38,159,-118.3078,11,3,0,2015-16,24,16,,Center(C),HOU,1.9575955
72,12614,Jump Shot,33.8173,123,227,-118.1468,0,3,0,1997-98,39,25,1.0,Right Side Center(RC),SAS,-1.7699852
73,24350,Jump Shot,33.9743,18,70,-118.2518,6,4,1,Jan-00,40,7,0.0,Center(C),SAS,-1.0562774
74,1452,Running Jump Shot,33.9113,-54,133,-118.3238,7,3,0,Jun-05,13,14,1.0,Center(C),POR,-0.06750069
75,16125,Layup Shot,33.9593,-85,85,-118.3548,4,3,0,1997-98,53,12,0.0,Left Side(L),LAC,-1.776777
76,29317,Driving Layup Shot,34.0443,0,0,-118.2698,0,1,1,Apr-03,48,0,,Center(C),DET,-0.42576954
77,14396,Jump Hook Shot,33.9893,18,55,-118.2518,8,4,0,Oct-09,14,5,1.0,Center(C),MIN,0.71412534
78,2791,Reverse Layup Shot,34.0443,0,0,-118.2698,11,4,0,Mar-02,44,0,0.0,Center(C),MIA,-0.7149881
79,8664,Jump Shot,33.3163,-168,728,-118.4378,0,1,1,Oct-09,0,74,0.0,Back Court(BC),OKC,0.7933633
80,3306,Reverse Layup Shot,34.0443,0,0,-118.2698,9,3,0,Jul-06,7,0,1.0,Center(C),SAC,0.16625133
81,5517,Jump Shot,34.0163,-197,28,-118.4668,5,2,0,Jan-00,13,19,0.0,Left Side(L),MIL,-1.1457031
82,7881,Jump Shot,33.8653,105,179,-118.1648,7,2,0,Oct-09,6,20,0.0,Right Side Center(RC),SAC,0.72601104
83,30682,Jump Shot,33.8583,-164,186,-118.4338,5,2,1,Oct-09,57,24,,Left Side Center(LC),UTA,0.79562724
84,6691,Jump Shot,33.9043,72,140,-118.1978,11,4,0,Apr-03,27,15,1.0,Center(C),GSW,-0.45633274
85,6745,Jump Shot,34.0273,141,17,-118.1288,3,2,0,Oct-09,51,14,,Right Side(R),POR,0.7299729
86,7133,Jump Shot,33.9753,-56,69,-118.3258,4,2,0,Apr-03,44,8,0.0,Left Side(L),CHI,-0.4738783
87,13362,Jump Shot,33.9453,98,99,-118.1718,7,3,0,Jan-00,55,13,1.0,Right Side(R),MIL,-1.0896705
88,5422,Jump Shot,33.9433,-218,101,-118.4878,7,3,0,Sep-08,38,24,,Left Side Center(LC),PHX,0.55281943
89,6174,Jump Shot,33.7903,12,254,-118.2578,2,4,1,Sep-08,35,25,0.0,Center(C),DEN,0.6009282
90,15389,Jump Shot,34.0023,24,42,-118.2458,0,3,0,Jan-00,23,4,0.0,Center(C),WAS,-1.0925004
91,16920,Turnaround Jump Shot,33.8953,-127,149,-118.3968,6,3,1,Dec-11,32,19,1.0,Left Side Center(LC),DEN,1.2127585
92,28783,Layup Shot,34.0443,0,0,-118.2698,7,3,1,Oct-09,5,0,1.0,Center(C),BOS,0.81939864
93,25907,Jump Shot,33.8823,21,162,-118.2488,7,4,0,Dec-11,38,16,1.0,Center(C),DAL,1.1476703
94,14682,Jump Shot,33.8143,136,230,-118.1338,0,2,1,Sep-08,38,26,0.0,Right Side Center(RC),ORL,0.60658807
95,30547,Jump Shot,33.8733,-41,171,-118.3108,8,1,0,Aug-07,0,17,0.0,Center(C),BOS,0.31114364
96,23527,Driving Layup Shot,34.0443,0,0,-118.2698,4,3,0,Jun-05,5,0,,Center(C),ATL,-0.13145706
97,1889,Jump Shot,33.9013,41,143,-118.2288,11,3,0,Apr-03,26,14,1.0,Center(C),SAS,-0.54632443
98,18397,Turnaround Jump Shot,33.8683,-3,176,-118.2728,5,4,1,Aug-07,31,17,1.0,Center(C),DEN,0.37906188
99,17436,Jump Shot,33.9163,113,128,-118.1568,11,1,0,Jul-06,47,17,,Right Side Center(RC),TOR,0.12776431
100,22924,Layup Shot,34.0443,0,0,-118.2698,8,4,0,Apr-03,7,0,0.0,Center(C),SAC,-0.45746472
101,13133,Jump Shot,33.8683,34,176,-118.2358,4,4,0,Dec-11,3,17,1.0,Center(C),DAL,1.1844593
102,5551,Jump Shot,33.8163,-97,228,-118.3668,2,2,0,2014-15,4,24,0.0,Left Side Center(LC),CHA,1.7295034
103,27915,Jump Shot,33.9623,118,82,-118.1518,3,2,0,Jul-06,37,14,1.0,Right Side(R),MIN,0.14191395
104,18544,Jump Shot,33.8393,32,205,-118.2378,9,1,1,Oct-09,45,20,0.0,Center(C),UTA,0.79562724
105,12036,Jump Shot,34.0673,163,-23,-118.1068,9,4,0,Jun-05,19,16,0.0,Right Side(R),MIL,-0.11560946
106,6290,Jump Shot,33.8653,121,179,-118.1488,4,1,0,Aug-07,17,21,1.0,Right Side Center(RC),PHX,0.27831647
107,1414,Fadeaway Jump Shot,34.0273,106,17,-118.1638,6,3,0,Sep-08,44,10,1.0,Right Side(R),CLE,0.52961403
108,22637,Layup Shot,34.0443,0,0,-118.2698,3,3,0,Feb-01,44,0,0.0,Center(C),POR,-0.878558
109,1563,Jump Shot,33.9733,151,71,-118.1188,3,4,0,2014-15,20,16,0.0,Right Side(R),SAS,1.7481809
110,23602,Jump Shot,34.0043,-25,40,-118.2948,2,4,0,1998-99,24,4,0.0,Center(C),SAS,-1.5266113
111,21020,Jump Shot,33.7963,-5,248,-118.2748,7,4,0,Aug-07,27,24,0.0,Center(C),IND,0.2885042
112,20298,Running Jump Shot,33.8763,-75,168,-118.3448,0,3,0,Mar-02,38,18,1.0,Left Side Center(LC),MIN,-0.7297038
113,4685,Jump Shot,33.8323,-131,212,-118.4008,9,3,0,Mar-02,19,24,1.0,Left Side Center(LC),SEA,-0.7178181
114,19984,Jump Shot,33.8243,123,220,-118.1468,7,2,0,1997-98,52,25,0.0,Right Side Center(RC),TOR,-1.7043308
115,20242,Driving Layup Shot,34.0443,0,0,-118.2698,4,2,0,Feb-01,25,0,0.0,Center(C),ORL,-0.9113851
116,5785,Jump Shot,33.9723,43,72,-118.2268,6,2,0,2012-13,46,8,0.0,Right Side(R),GSW,1.3406713
117,5260,Turnaround Fadeaway shot,33.8713,-26,173,-118.2958,2,4,0,Dec-11,0,17,1.0,Center(C),SAC,1.1737056
118,29897,Layup Shot,34.0443,0,0,-118.2698,3,2,0,1996-97,56,0,1.0,Center(C),GSW,-1.9063877
119,3624,Jump Shot,33.8933,222,151,-118.0478,4,4,0,Jun-05,20,26,0.0,Right Side Center(RC),SAC,-0.06014288
120,7175,Jump Shot,34.0463,-155,-2,-118.4248,10,2,0,Feb-01,47,15,1.0,Left Side(L),MIL,-0.8961035
121,11205,Jump Shot,34.0343,-232,10,-118.5018,7,2,0,Jul-06,36,23,0.0,Left Side(L),MEM,0.15379965
122,30390,Jump Shot,34.0283,-63,16,-118.3328,0,2,0,1997-98,45,6,0.0,Center(C),WAS,-1.7207444
123,6563,Running Jump Shot,34.0143,64,30,-118.2058,0,1,0,1996-97,0,7,1.0,Center(C),DEN,-1.9097836
124,181,Slam Dunk Shot,34.0443,0,0,-118.2698,0,3,0,1997-98,26,0,1.0,Center(C),PHI,-1.773947
125,27590,Jump Shot,33.8713,65,173,-118.2048,0,4,0,2012-13,55,18,0.0,Right Side Center(RC),MEM,1.3995337
126,14108,Jump Shot,33.8633,-176,181,-118.4458,0,3,0,Mar-02,0,25,0.0,Left Side Center(LC),CHI,-0.682161
127,7232,Jump Shot,34.0043,182,40,-118.0878,7,1,0,Mar-02,33,18,1.0,Right Side(R),GSW,-0.7478153
128,28791,Jump Shot,33.8613,-24,183,-118.2938,1,5,1,Sep-08,58,18,0.0,Center(C),ORL,0.61055
129,17805,Jump Shot,33.8303,-124,214,-118.3938,4,1,0,2015-16,16,24,0.0,Left Side Center(LC),DEN,1.9604255
130,12784,Dunk Shot,34.0443,6,0,-118.2638,2,4,0,Nov-10,22,0,1.0,Center(C),POR,0.9767426
131,12777,Jump Shot,33.9013,173,143,-118.0968,9,3,0,Nov-10,36,22,0.0,Right Side Center(RC),SAS,0.9688188
132,5590,Turnaround Jump Shot,33.8773,43,167,-118.2268,5,3,1,Sep-08,28,17,0.0,Center(C),DEN,0.60319215
133,470,Slam Dunk Shot,34.0443,0,0,-118.2698,0,3,0,1998-99,33,0,1.0,Center(C),SEA,-1.4796345
134,7722,Jump Shot,33.9323,-178,112,-118.4478,2,4,0,Feb-01,7,21,0.0,Left Side(L),DAL,-0.8842178
135,7406,Jump Shot,33.9103,-139,134,-118.4088,2,1,0,1999-00,21,19,1.0,Left Side Center(LC),MIN,-1.3500239
136,2167,Jump Shot,33.9123,-135,132,-118.4048,4,2,0,May-04,12,18,1.0,Left Side Center(LC),SAS,-0.33973974
137,30386,Running Jump Shot,33.8153,119,229,-118.1508,1,1,0,2015-16,36,25,1.0,Right Side Center(RC),MEM,1.9632554
138,1028,Driving Layup Shot,34.0443,0,0,-118.2698,0,1,0,1997-98,0,0,,Center(C),PHX,-1.698671
139,11728,Pullup Bank shot,34.0183,72,26,-118.1978,3,1,0,2013-14,37,7,1.0,Center(C),MEM,1.5444261
140,21172,Jump Shot,33.7403,22,304,-118.2478,0,1,0,Jan-00,0,30,1.0,Center(C),PHX,-1.113442
141,1424,Layup Shot,34.0443,0,0,-118.2698,1,3,0,May-04,38,0,,Center(C),HOU,-0.25314394
142,27132,Jump Shot,33.8923,140,152,-118.1298,4,5,1,Jan-00,43,20,0.0,Right Side Center(RC),PHI,-1.0460896
143,29460,Jump Shot,33.9913,33,53,-118.2368,8,1,0,1999-00,22,6,1.0,Center(C),MIN,-1.3194606
144,19287,Dunk Shot,34.0383,0,6,-118.2698,4,5,0,Dec-11,25,0,,Center(C),NOH,1.1804974
145,18154,Slam Dunk Shot,34.0443,0,0,-118.2698,8,4,0,Mar-02,42,0,1.0,Center(C),DET,-0.6889528
146,26206,Driving Hook Shot,34.0083,62,36,-118.2078,7,1,0,Jun-05,39,7,0.0,Center(C),TOR,-0.089008145
147,14657,Turnaround Jump Shot,34.0273,187,17,-118.0828,6,2,1,Sep-08,17,18,1.0,Right Side(R),DEN,0.6009282
148,22980,Driving Layup Shot,34.0443,0,0,-118.2698,2,4,0,Oct-09,36,0,1.0,Center(C),ORL,0.7628001
149,11204,Jump Shot,33.9213,110,123,-118.1598,0,1,0,Jun-05,39,16,0.0,Right Side Center(RC),HOU,-0.049389154
150,23911,Jump Shot,33.9173,-134,127,-118.4038,1,3,0,Sep-08,34,18,,Left Side Center(LC),POR,0.48263723
151,8920,Jump Shot,33.9763,175,68,-118.0948,3,4,0,1999-00,37,18,1.0,Right Side(R),DAL,-1.2804077
152,1193,Jump Shot,33.7983,65,246,-118.2048,7,4,0,Sep-08,0,25,0.0,Center(C),CLE,0.52961403
153,7509,Jump Shot,33.9443,-66,100,-118.3358,5,4,0,Jul-06,45,11,,Left Side(L),TOR,0.080221534
154,6175,Alley Oop Layup shot,34.0193,-5,25,-118.2748,5,3,0,Apr-03,11,2,,Center(C),SAS,-0.54632443
155,21315,Turnaround Fadeaway shot,33.9453,56,99,-118.2138,2,2,0,Dec-11,21,11,1.0,Center(C),GSW,1.1906852
156,13505,Layup Shot,34.0443,0,0,-118.2698,3,1,0,1996-97,9,0,0.0,Center(C),DAL,-1.9075197
157,30428,Jump Shot,33.9593,138,85,-118.1318,6,4,0,Sep-08,0,16,1.0,Right Side(R),ORL,0.5279161
158,13584,Jump Shot,33.8783,-85,166,-118.3548,2,2,1,1999-00,6,18,1.0,Left Side Center(LC),SAC,-1.2707859
159,4158,Jump Shot,33.8863,-136,158,-118.4058,0,4,0,Mar-02,0,20,1.0,Left Side Center(LC),MEM,-0.6685773
160,2560,Jump Shot,33.9213,-138,123,-118.4078,4,3,0,Nov-10,40,18,0.0,Left Side Center(LC),BOS,0.9552352
161,27024,Jump Shot,33.7273,-128,317,-118.3978,0,2,0,1999-00,4,34,,Left Side Center(LC),DEN,-1.3364402
162,14085,Running Jump Shot,34.0143,72,30,-118.1978,8,4,0,May-04,57,7,,Center(C),ORL,-0.33577782
163,10440,Driving Layup Shot,34.0443,0,0,-118.2698,6,4,0,1999-00,46,0,1.0,Center(C),POR,-1.3579477
164,13959,Jump Shot,33.8613,-189,183,-118.4588,4,2,0,Jun-05,0,26,1.0,Left Side Center(LC),NOP,-0.053351052
165,10211,Jump Shot,33.9643,-150,80,-118.4198,2,2,0,Oct-09,53,17,0.0,Left Side(L),OKC,0.7033716
166,3735,Jump Shot,33.8903,-136,154,-118.4058,2,5,0,Jan-00,35,20,1.0,Left Side Center(LC),VAN,-1.1264596
167,11377,Running Jump Shot,33.9883,-8,56,-118.2778,5,3,0,Sep-08,10,5,1.0,Center(C),NYK,0.5375378
168,23303,Running Bank shot,33.9533,-41,91,-118.3108,4,4,0,Sep-08,13,9,0.0,Center(C),DEN,0.5516875
169,26325,Driving Layup Shot,34.0443,0,0,-118.2698,11,2,0,Jun-05,6,0,,Center(C),SAS,-0.05108711
170,13886,Turnaround Jump Shot,33.8443,162,200,-118.1078,3,3,0,Dec-11,25,25,0.0,Right Side Center(RC),MIN,1.1776675
171,11759,Jump Shot,33.9113,-182,133,-118.4518,4,1,0,May-04,11,22,0.0,Left Side Center(LC),ATL,-0.33860776
172,3861,Jump Shot,33.9783,-172,66,-118.4418,8,4,1,Apr-03,39,18,0.0,Left Side(L),MIN,-0.42916545
173,6506,Jump Shot,33.8813,151,163,-118.1188,0,1,0,Jun-05,30,22,0.0,Right Side Center(RC),CLE,-0.09466799
174,27702,Jump Shot,33.8193,-56,225,-118.3258,0,5,0,Jun-05,0,23,1.0,Center(C),DEN,-0.13485298
175,27745,Jump Shot,33.8963,-123,148,-118.3928,9,1,0,Jul-06,33,19,1.0,Left Side Center(LC),LAC,0.15832753
176,2605,Jump Shot,33.9893,39,55,-118.2308,6,2,0,2014-15,12,6,0.0,Center(C),MIN,1.740257
177,22898,Jump Shot,34.0003,17,44,-118.2528,3,1,0,Nov-10,0,4,0.0,Center(C),DEN,0.9846664
178,5103,Jump Shot,33.9753,182,69,-118.0878,3,4,0,Apr-03,31,19,0.0,Right Side(R),SAC,-0.46765247
179,6391,Jump Shot,33.9913,59,53,-118.2108,0,2,0,Jul-06,0,7,,Center(C),SAC,0.15662958
180,24753,Jump Shot,33.8243,-99,220,-118.3688,0,4,1,1996-97,34,24,1.0,Left Side Center(LC),POR,-1.893936
181,10498,Jump Shot,33.8073,91,237,-118.1788,2,2,0,1997-98,50,25,0.0,Right Side Center(RC),UTA,-1.7796069
182,1298,Turnaround Jump Shot,33.9913,3,53,-118.2668,2,3,0,Aug-07,53,5,1.0,Center(C),UTA,0.35698846
183,5788,Jump Shot,33.8323,-116,212,-118.3858,4,2,0,1996-97,4,24,,Left Side Center(LC),SAC,-1.9601563
184,14224,Turnaround Jump Shot,33.9443,-48,100,-118.3178,3,1,0,2015-16,51,11,0.0,Center(C),HOU,1.9547656
185,21337,Jump Shot,33.9743,-229,70,-118.4988,1,2,0,Jan-00,48,23,0.0,Left Side(L),WAS,-1.0925004
186,636,Running Jump Shot,33.9723,-4,72,-118.2738,0,4,0,Nov-10,4,7,1.0,Center(C),PHX,0.9054284
187,10785,Jump Shot,34.0323,-156,12,-118.4258,2,5,0,Mar-02,49,15,0.0,Left Side(L),PHX,-0.66744536
188,29113,Jump Shot,33.9313,-209,113,-118.4788,1,1,1,Dec-11,31,23,0.0,Left Side Center(LC),OKC,1.2161545
189,21019,Driving Layup Shot,34.0463,17,-2,-118.2528,9,1,0,2012-13,49,1,1.0,Center(C),DET,1.313504
190,16982,Jump Shot,33.8123,118,232,-118.1518,0,2,0,Apr-03,35,26,0.0,Right Side Center(RC),MIN,-0.4665205
191,20865,Turnaround Fadeaway shot,33.9063,-87,138,-118.3568,8,4,0,Aug-07,29,16,0.0,Left Side Center(LC),POR,0.36774218
192,23768,Driving Layup Shot,34.0223,24,22,-118.2458,4,1,0,Nov-10,40,3,,Center(C),MIN,0.9082584
193,13218,Jump Shot,34.0143,51,30,-118.2188,5,1,0,Mar-02,34,5,1.0,Center(C),IND,-0.6855569
194,11035,Layup Shot,34.0443,0,0,-118.2698,9,1,0,Jun-05,52,0,1.0,Center(C),NYK,-0.08391427
195,8495,Jump Shot,33.8803,-85,164,-118.3548,1,3,0,Jun-05,56,18,0.0,Left Side Center(LC),CLE,-0.05731295
196,7210,Jump Shot,33.8843,-153,160,-118.4228,2,1,1,Apr-03,56,22,0.0,Left Side Center(LC),DET,-0.42350557
197,13596,Layup Shot,34.0443,0,0,-118.2698,7,3,0,Apr-03,32,0,0.0,Center(C),ORL,-0.47274634
198,17836,Jump Shot,33.8493,-152,195,-118.4218,5,1,1,Oct-09,55,24,1.0,Left Side Center(LC),UTA,0.7978912
199,4860,Jump Shot,33.9403,-29,104,-118.2988,0,1,1,Feb-01,0,10,0.0,Center(C),SAC,-0.8417689
200,25124,Jump Shot,33.8653,-5,179,-118.2748,7,2,1,Nov-10,51,17,1.0,Center(C),NOH,0.99768406
201,2925,Step Back Jump shot,33.8953,15,149,-118.2548,5,4,0,Nov-10,45,14,0.0,Center(C),MIN,0.9659889
202,12759,Jump Shot,33.8763,77,168,-118.1928,7,1,0,Jul-06,35,18,1.0,Right Side Center(RC),MIN,0.07456168
203,28695,Jump Shot,33.8453,159,199,-118.1108,4,2,0,Jul-06,28,25,1.0,Right Side Center(RC),NJN,0.100031026
204,6635,Jump Shot,34.0473,147,-3,-118.1228,1,2,0,1998-99,3,14,0.0,Right Side(R),UTA,-1.4881244
205,25604,Driving Layup Shot,34.0363,-53,8,-118.3228,9,4,0,1997-98,14,5,0.0,Center(C),MIL,-1.7513076
206,11732,Layup Shot,34.0443,0,0,-118.2698,0,5,0,May-04,38,0,0.0,Center(C),WAS,-0.31596833
207,14418,Reverse Slam Dunk Shot,34.0433,0,1,-118.2698,4,1,0,2014-15,10,0,1.0,Center(C),MIN,1.740257
208,14621,Jump Shot,33.9513,-118,93,-118.3878,4,1,0,1996-97,36,15,0.0,Left Side(L),LAC,-1.9205374
209,24328,Turnaround Jump Shot,33.8743,-8,170,-118.2778,3,3,0,2014-15,31,17,0.0,Center(C),DEN,1.7583686
210,16666,Jump Shot,33.9043,-90,140,-118.3598,10,1,0,Sep-08,48,16,0.0,Left Side Center(LC),BOS,0.5392358
211,4060,Layup Shot,34.0443,0,0,-118.2698,1,4,0,May-04,35,0,0.0,Center(C),DEN,-0.3414377
212,19928,Jump Shot,33.9453,169,99,-118.1008,2,2,1,Feb-01,14,19,1.0,Right Side(R),SAC,-0.8445988
