,0,1
91,6822,Jump Shot
92,6483,Layup Shot
93,1024,Layup Shot
94,10507,Jump Shot
95,3109,Jump Shot
96,3814,Jump Shot
97,6121,Jump Shot
98,30548,Jump Shot
99,12861,Driving Layup Shot
100,17476,Driving Layup Shot
101,5708,Jump Shot
102,7242,Jump Shot
103,28588,Jump Shot
104,19755,Jump Shot
105,15607,Jump Shot
106,21742,Jump Shot
107,17870,Jump Shot
108,28452,Jump Shot
109,26991,Jump Shot
110,3695,Jump Shot
111,18686,Jump Shot
112,15737,Jump Shot
113,8740,Driving Layup Shot
114,10430,Jump Shot
115,23781,Jump Shot
116,12282,Jump Shot
117,3726,Layup Shot
118,4557,Jump Shot
119,29439,Jump Shot
120,13988,Jump Shot
121,8905,Jump Shot
122,6746,Jump Shot
123,15731,Driving Layup Shot
124,7672,Jump Shot
125,22588,Jump Shot
126,7801,Jump Shot
127,15279,Jump Shot
128,29434,Jump Shot
129,10123,Jump Shot
130,5456,Jump Shot
131,28920,Jump Shot
132,28937,Jump Shot
133,19753,Jump Shot
134,25745,Jump Shot
135,14752,Jump Shot
136,8486,Jump Shot
137,17958,Jump Shot
138,24752,Jump Shot
139,3821,Jump Shot
140,13151,Layup Shot
141,25570,Jump Shot
142,12310,Jump Shot
143,24131,Jump Shot
144,9268,Jump Shot
145,10599,Jump Shot
146,25974,Jump Shot
147,21541,Jump Shot
148,9227,Jump Shot
149,6092,Jump Shot
150,9090,Jump Shot
151,4207,Jump Shot
152,28371,Driving Layup Shot
153,8443,Jump Shot
154,20229,Driving Layup Shot
155,1973,Jump Shot
156,10575,Jump Shot
157,11490,Jump Shot
158,20146,Jump Shot
159,822,Jump Shot
160,25176,Jump Shot
161,15745,Driving Layup Shot
162,27568,Driving Layup Shot
163,3173,Jump Shot
164,27278,Jump Shot
165,2141,Jump Shot
166,12679,Jump Shot
167,28382,Layup Shot
168,21856,Jump Shot
169,7013,Jump Shot
170,17847,Jump Shot
171,4689,Jump Shot
172,27378,Jump Shot
173,20210,Jump Shot
174,6995,Jump Shot
175,15530,Jump Shot
176,20801,Layup Shot
177,3779,Jump Shot
178,3161,Driving Layup Shot
179,9117,Jump Shot
180,13769,Jump Shot
181,11314,Jump Shot
182,28736,Jump Shot
183,29383,Layup Shot
184,22861,Jump Shot
185,4094,Driving Layup Shot
186,16136,Jump Shot
187,424,Jump Shot
188,3800,Jump Bank Shot
189,11841,Jump Shot
190,8787,Driving Layup Shot
191,9247,Layup Shot
192,19252,Jump Shot
193,21014,Jump Shot
194,211,Layup Shot
195,15536,Layup Shot
196,3777,Jump Shot
197,19304,Jump Shot
198,19741,Jump Shot
199,11538,Jump Shot
200,20078,Jump Shot
201,9501,Jump Shot
202,8341,Jump Shot
203,17136,Jump Shot
204,22979,Jump Shot
205,19341,Jump Shot
206,14041,Jump Shot
207,8391,Jump Shot
208,13513,Jump Shot
209,10697,Jump Shot
210,16868,Jump Shot
211,2885,Layup Shot
212,29329,Layup Shot
213,15169,Jump Shot
214,10027,Driving Layup Shot
215,1044,Jump Shot
216,17992,Layup Shot
217,1407,Jump Shot
218,17347,Jump Shot
219,15774,Jump Shot
220,997,Jump Shot
221,14879,Jump Shot
222,1331,Jump Shot
223,28334,Layup Shot
224,4916,Layup Shot
225,20477,Layup Shot
226,20799,Jump Shot
227,9404,Jump Shot
228,2768,Jump Shot
229,17874,Jump Shot
230,2281,Layup Shot
231,10549,Driving Layup Shot
232,9808,Jump Shot
233,5101,Jump Shot
234,23980,Jump Shot
235,27061,Driving Layup Shot
236,8693,Jump Shot
237,10017,Driving Layup Shot
238,3097,Jump Shot
239,14434,Jump Shot
240,16787,Jump Shot
241,5842,Driving Layup Shot
242,2498,Layup Shot
243,29401,Jump Shot
244,4978,Jump Shot
245,22110,Jump Shot
246,429,Layup Shot
247,19917,Jump Shot
248,3209,Layup Shot
249,17625,Jump Shot
250,6112,Jump Shot
251,25577,Jump Shot
252,5680,Jump Shot
253,17164,Running Jump Shot
254,16120,Layup Shot
255,25709,Jump Shot
256,24658,Driving Layup Shot
257,11258,Jump Shot
258,22309,Driving Layup Shot
259,11527,Jump Shot
260,16223,Jump Shot
261,492,Driving Layup Shot
262,14937,Jump Shot
263,30036,Jump Shot
264,22218,Jump Shot
265,8867,Jump Shot
266,13693,Jump Shot
267,25605,Layup Shot
268,27136,Layup Shot
269,97,Jump Shot
270,29615,Jump Shot
271,8452,Jump Shot
272,13316,Jump Shot
273,2948,Jump Shot
274,30013,Jump Shot
275,18499,Layup Shot
276,11496,Jump Shot
277,15059,Driving Layup Shot
278,10414,Driving Layup Shot
279,8597,Jump Shot
280,30684,Jump Shot
281,8822,Jump Shot
282,13050,Jump Shot
283,19733,Jump Shot
284,25898,Jump Shot
285,1589,Driving Layup Shot
286,10773,Driving Layup Shot
287,25486,Layup Shot
288,29326,Layup Shot
289,16275,Layup Shot
290,16333,Jump Shot
291,4640,Jump Shot
292,14718,Layup Shot
293,7476,Jump Shot
294,18330,Jump Shot
295,625,Layup Shot
296,7218,Jump Shot
297,13175,Jump Shot
298,25454,Jump Shot
299,13575,Jump Shot
300,1611,Jump Shot
301,23505,Jump Shot
302,2394,Jump Shot
303,8080,Jump Shot
304,12568,Jump Shot
305,8355,Driving Layup Shot
306,28805,Jump Shot
307,1256,Driving Layup Shot
308,11360,Jump Shot
309,27477,Jump Shot
310,9972,Layup Shot
311,25283,Jump Shot
312,15761,Jump Shot
313,18684,Jump Shot
314,10476,Layup Shot
315,3519,Driving Layup Shot
316,8395,Jump Shot
317,7043,Jump Shot
318,17993,Jump Shot
319,19959,Jump Shot
320,29390,Layup Shot
321,929,Driving Layup Shot
322,10135,Jump Shot
323,15421,Driving Layup Shot
324,23241,Jump Shot
325,2389,Jump Shot
326,22915,Jump Shot
327,12288,Jump Shot
328,27679,Driving Layup Shot
329,7970,Jump Shot
330,10455,Jump Shot
331,26652,Driving Layup Shot
332,22038,Jump Shot
333,8214,Layup Shot
334,6187,Jump Shot
335,15558,Jump Shot
336,10377,Jump Shot
337,1093,Jump Shot
338,29943,Jump Shot
339,13260,Jump Shot
340,12716,Jump Shot
341,13399,Driving Layup Shot
342,13941,Jump Shot
343,13928,Jump Shot
344,3015,Jump Shot
345,16193,Layup Shot
346,19525,Jump Shot
347,10155,Jump Shot
348,29502,Jump Shot
349,29422,Layup Shot
350,29832,Jump Shot
351,9508,Jump Shot
352,10353,Jump Shot
353,9329,Jump Shot
354,5805,Jump Shot
355,6272,Jump Shot
356,2820,Jump Shot
357,20594,Jump Shot
358,28649,Jump Shot
359,4833,Jump Shot
360,23033,Jump Shot
361,5743,Driving Layup Shot
362,21456,Jump Shot
363,25473,Layup Shot
364,18210,Jump Shot
365,28213,Jump Shot
366,6353,Jump Shot
367,17266,Driving Layup Shot
368,28131,Jump Shot
369,29097,Jump Shot
370,22120,Jump Shot
371,8091,Jump Shot
372,21932,Jump Shot
373,11300,Jump Shot
374,26670,Jump Shot
375,5713,Jump Shot
376,23492,Layup Shot
377,2214,Jump Shot
378,28229,Jump Shot
379,19225,Jump Shot
380,21884,Jump Shot
381,4373,Jump Shot
382,12351,Jump Shot
383,24500,Driving Layup Shot
384,4578,Jump Shot
385,23396,Jump Shot
386,6461,Jump Shot
387,16872,Jump Shot
388,8967,Jump Shot
389,9379,Jump Shot
390,23859,Layup Shot
391,25362,Jump Shot
392,21327,Jump Shot
393,7664,Jump Shot
394,20657,Jump Shot
395,16258,Layup Shot
396,4242,Jump Shot
397,20764,Jump Shot
398,29604,Driving Layup Shot
399,4187,Jump Shot
400,9792,Layup Shot
401,8024,Jump Shot
402,5222,Jump Shot
403,10005,Jump Shot
404,22809,Jump Shot
405,20327,Jump Shot
406,10937,Jump Shot
407,19569,Jump Shot
408,18315,Jump Shot
409,29083,Jump Shot
410,29425,Jump Shot
411,4344,Jump Shot
412,19428,Jump Shot
413,19067,Jump Shot
414,17709,Driving Layup Shot
415,4673,Jump Shot
416,9483,Jump Shot
417,26763,Jump Shot
418,24707,Jump Shot
419,6499,Jump Shot
420,22675,Jump Shot
421,28465,Jump Shot
422,2901,Driving Layup Shot
423,26026,Jump Shot
424,7295,Driving Layup Shot
425,27280,Jump Shot
426,11145,Jump Shot
427,9015,Jump Shot
428,7909,Jump Shot
429,21131,Jump Shot
430,3793,Layup Shot
431,10306,Jump Shot
432,13409,Jump Shot
433,26587,Jump Shot
434,18645,Driving Layup Shot
435,26474,Driving Layup Shot
436,2944,Jump Shot
437,30613,Jump Shot
438,14468,Jump Shot
439,25973,Jump Shot
440,21369,Driving Layup Shot
441,17340,Jump Shot
442,27191,Jump Shot
443,11058,Jump Shot
444,2154,Jump Shot
445,22520,Jump Shot
446,24183,Running Jump Shot
447,16852,Jump Shot
448,28935,Jump Shot
449,25884,Driving Layup Shot
450,27475,Driving Layup Shot
451,18082,Layup Shot
452,280,Jump Shot
453,21306,Jump Shot
454,458,Driving Layup Shot
455,17522,Jump Shot
456,12258,Jump Shot
457,26664,Jump Shot
458,8616,Layup Shot
459,21389,Jump Shot
460,23845,Jump Shot
461,24464,Jump Shot
462,18822,Jump Shot
463,5707,Jump Shot
464,18508,Layup Shot
465,13912,Jump Shot
466,20891,Jump Shot
467,16658,Layup Shot
468,26974,Jump Shot
469,14633,Jump Shot
470,4105,Jump Shot
471,9871,Jump Shot
472,22763,Driving Layup Shot
473,28253,Jump Shot
474,1556,Jump Shot
475,6880,Driving Layup Shot
476,6030,Jump Shot
477,23179,Jump Shot
478,17226,Layup Shot
479,11636,Jump Shot
480,30343,Jump Shot
481,19516,Jump Shot
482,25239,Jump Shot
483,8488,Jump Shot
484,7746,Jump Shot
485,9193,Jump Shot
486,30041,Jump Shot
487,7093,Jump Shot
488,23251,Jump Shot
489,4914,Driving Layup Shot
490,28556,Jump Shot
491,22294,Jump Shot
492,20534,Jump Shot
493,7574,Jump Shot
494,19480,Jump Shot
495,8618,Jump Shot
496,10868,Jump Shot
497,21338,Jump Shot
498,24816,Jump Shot
499,20054,Layup Shot
500,897,Jump Shot
501,3508,Jump Shot
502,28909,Jump Shot
503,9215,Jump Shot
504,12396,Driving Layup Shot
505,4059,Layup Shot
506,19929,Layup Shot
507,16373,Jump Shot
508,25260,Jump Shot
509,19833,Jump Shot
510,20904,Jump Shot
511,23159,Jump Shot
512,20736,Jump Shot
513,1079,Jump Shot
514,10719,Jump Shot
515,16507,Jump Shot
516,10291,Layup Shot
517,23214,Jump Shot
518,19086,Layup Shot
519,12849,Driving Layup Shot
520,9772,Jump Shot
521,16438,Jump Shot
522,27111,Jump Shot
523,21167,Jump Shot
524,20066,Jump Shot
525,21283,Jump Shot
526,5384,Layup Shot
527,21161,Jump Shot
528,23288,Layup Shot
529,25378,Driving Layup Shot
530,11675,Jump Shot
531,21841,Driving Layup Shot
532,251,Jump Shot
533,1248,Jump Shot
534,737,Jump Shot
535,11406,Jump Shot
536,11312,Jump Shot
537,16098,Jump Shot
538,17918,Jump Shot
539,24635,Jump Shot
540,10290,Driving Layup Shot
541,10139,Jump Shot
542,16625,Layup Shot
543,3930,Jump Shot
544,20000,Jump Shot
545,28516,Jump Shot
546,7498,Jump Shot
547,23461,Jump Shot
548,8029,Jump Shot
549,8460,Jump Shot
550,3707,Jump Shot
551,15911,Jump Shot
552,4740,Jump Shot
553,7354,Jump Shot
554,2508,Jump Shot
555,18439,Jump Shot
556,6815,Jump Shot
557,11450,Jump Shot
558,17688,Jump Shot
559,12106,Jump Shot
560,2384,Layup Shot
561,2679,Jump Shot
562,22327,Jump Shot
563,218,Jump Shot
564,6335,Jump Shot
565,21380,Jump Shot
566,17800,Jump Shot
567,2142,Jump Shot
568,24197,Layup Shot
569,12540,Jump Shot
570,20987,Jump Shot
571,28689,Jump Shot
572,22870,Driving Layup Shot
573,19880,Jump Shot
574,30318,Jump Bank Shot
575,19267,Layup Shot
576,8043,Layup Shot
577,23034,Jump Shot
578,27443,Jump Shot
579,4983,Jump Shot
580,29353,Jump Shot
581,19932,Jump Shot
582,1279,Layup Shot
583,16648,Jump Shot
584,11769,Jump Shot
585,30017,Jump Shot
586,11033,Jump Shot
587,26812,Layup Shot
588,13252,Driving Layup Shot
589,9062,Jump Shot
590,5926,Jump Shot
591,15495,Jump Shot
592,20073,Layup Shot
593,23337,Jump Shot
594,22403,Jump Shot
595,27701,Jump Shot
596,14813,Jump Shot
597,21220,Jump Shot
598,25864,Layup Shot
599,18587,Jump Shot
600,12136,Jump Shot
601,27525,Jump Shot
602,14277,Jump Shot
603,7756,Jump Shot
604,7470,Jump Shot
605,2869,Jump Shot
606,7699,Jump Shot
607,16898,Jump Shot
608,24206,Jump Shot
609,12668,Jump Shot
610,13605,Jump Shot
611,9223,Jump Shot
612,12273,Jump Shot
613,27219,Jump Shot
614,14787,Jump Shot
615,24709,Jump Shot
616,22828,Jump Shot
617,12586,Layup Shot
618,5624,Jump Shot
619,6215,Jump Shot
620,30645,Jump Shot
621,15806,Jump Shot
622,8909,Layup Shot
623,6690,Layup Shot
624,12760,Jump Shot
625,22157,Layup Shot
626,3387,Driving Layup Shot
627,28943,Jump Shot
628,15635,Jump Shot
629,13540,Layup Shot
630,12234,Jump Shot
631,30423,Driving Layup Shot
632,3054,Jump Shot
633,10471,Driving Layup Shot
634,29628,Jump Shot
635,1332,Jump Shot
636,25983,Jump Shot
637,10528,Jump Shot
638,2603,Driving Layup Shot
639,17655,Jump Shot
640,3509,Jump Shot
641,23230,Layup Shot
642,20045,Layup Shot
643,21275,Jump Shot
644,27207,Jump Shot
645,1504,Jump Shot
646,20025,Jump Shot
647,1787,Jump Shot
648,6886,Jump Shot
649,22123,Driving Layup Shot
650,15840,Driving Layup Shot
651,16843,Jump Shot
652,1484,Jump Shot
653,14509,Jump Shot
654,6426,Jump Shot
655,11771,Jump Shot
656,215,Jump Shot
657,18530,Jump Bank Shot
658,16977,Driving Layup Shot
659,20189,Jump Shot
660,19330,Layup Shot
661,13863,Jump Shot
662,3533,Jump Shot
663,27470,Jump Shot
664,7398,Jump Shot
665,28893,Layup Shot
666,3580,Jump Shot
667,9403,Jump Shot
668,24841,Driving Layup Shot
669,22200,Jump Shot
670,1123,Jump Shot
671,27668,Jump Shot
672,20295,Jump Shot
673,12155,Jump Shot
674,12750,Jump Shot
675,18342,Jump Shot
676,16422,Jump Shot
677,9486,Jump Shot
678,6759,Jump Shot
679,19183,Driving Layup Shot
680,23521,Jump Shot
681,431,Layup Shot
682,8257,Jump Shot
683,8961,Layup Shot
684,28438,Jump Shot
685,30199,Driving Layup Shot
686,23692,Jump Shot
687,13216,Jump Shot
688,26355,Jump Shot
689,9659,Jump Shot
690,25361,Jump Shot
691,20745,Jump Shot
692,25853,Jump Shot
693,26931,Jump Shot
694,21530,Jump Shot
695,14097,Layup Shot
696,26668,Layup Shot
697,10076,Jump Shot
698,18835,Jump Shot
699,11624,Jump Shot
700,9858,Jump Shot
701,24609,Jump Shot
702,16415,Jump Shot
703,21410,Jump Shot
704,5577,Jump Shot
705,29024,Jump Shot
706,27372,Jump Shot
707,28209,Jump Shot
708,16350,Jump Shot
709,19005,Jump Shot
710,25580,Jump Shot
711,12268,Jump Shot
712,24422,Driving Layup Shot
713,16402,Jump Shot
714,10573,Jump Shot
715,13951,Jump Shot
716,23971,Jump Shot
717,4707,Jump Shot
718,26949,Jump Shot
719,26233,Jump Shot
720,24279,Jump Shot
721,18737,Jump Shot
722,30269,Jump Shot
723,22497,Jump Shot
724,25144,Layup Shot
725,15292,Jump Shot
726,14620,Driving Layup Shot
727,9762,Jump Shot
728,10609,Jump Shot
729,14095,Jump Shot
730,20090,Layup Shot
731,21600,Jump Shot
732,24384,Jump Shot
733,27179,Jump Shot
734,10236,Jump Shot
735,15799,Driving Layup Shot
736,3428,Jump Shot
737,15051,Jump Shot
738,21186,Driving Layup Shot
739,3032,Jump Shot
740,5524,Driving Layup Shot
741,14059,Jump Shot
742,6803,Jump Shot
743,1838,Jump Shot
744,5954,Jump Shot
745,1531,Driving Layup Shot
746,13985,Jump Shot
747,8146,Jump Shot
748,3589,Jump Shot
749,5781,Jump Shot
750,9881,Jump Shot
751,24016,Jump Shot
752,15302,Layup Shot
753,24145,Jump Shot
754,4304,Jump Shot
755,7031,Layup Shot
756,4283,Driving Layup Shot
757,8122,Jump Shot
758,24962,Jump Shot
759,7256,Jump Shot
760,7515,Jump Shot
761,18784,Layup Shot
762,25046,Jump Shot
763,25146,Layup Shot
764,18037,Jump Shot
765,29409,Jump Shot
766,16486,Jump Shot
767,20551,Jump Shot
768,4081,Jump Shot
769,763,Jump Shot
770,30565,Jump Shot
771,9531,Jump Shot
772,13438,Jump Shot
773,22755,Jump Shot
774,19530,Jump Shot
775,4992,Jump Shot
776,24321,Jump Shot
777,16700,Jump Shot
778,21851,Jump Shot
779,27301,Layup Shot
780,20281,Layup Shot
781,14333,Jump Shot
782,12325,Layup Shot
783,15874,Jump Shot
784,12737,Jump Shot
785,19387,Layup Shot
786,4179,Jump Shot
787,19162,Jump Shot
788,16297,Jump Shot
789,3471,Jump Shot
790,16669,Jump Shot
791,16748,Jump Shot
792,9806,Jump Shot
793,622,Jump Shot
794,16259,Jump Shot
795,24534,Jump Shot
796,25765,Jump Shot
797,6073,Jump Shot
798,5187,Layup Shot
799,16404,Layup Shot
800,30560,Jump Shot
801,3024,Jump Shot
802,20847,Layup Shot
803,3155,Jump Shot
804,13574,Jump Shot
805,29355,Driving Layup Shot
806,28848,Jump Shot
807,17410,Jump Shot
808,11265,Jump Shot
809,23701,Jump Shot
810,2347,Jump Shot
811,17099,Jump Shot
812,13595,Jump Shot
813,10841,Jump Shot
814,30481,Jump Shot
815,29087,Layup Shot
816,16266,Driving Layup Shot
817,15462,Jump Shot
818,26393,Jump Shot
819,20486,Jump Shot
820,29062,Jump Shot
821,14631,Jump Shot
822,6004,Jump Shot
823,22426,Jump Shot
824,30602,Jump Shot
825,17879,Jump Shot
826,17329,Layup Shot
827,12554,Jump Shot
828,16308,Jump Shot
829,23646,Jump Shot
830,8816,Jump Shot
831,27159,Jump Shot
832,13539,Jump Shot
833,13741,Jump Shot
834,11161,Jump Shot
835,21102,Driving Layup Shot
836,18026,Layup Shot
837,15351,Jump Shot
838,16335,Jump Shot
839,23652,Jump Shot
840,15822,Layup Shot
841,8050,Layup Shot
842,16824,Jump Shot
843,10621,Jump Shot
844,15802,Slam Dunk Shot
845,25994,Jump Shot
846,4217,Layup Shot
847,9286,Jump Shot
848,13727,Jump Shot
849,6761,Layup Shot
850,17732,Jump Shot
851,15625,Jump Shot
852,16746,Jump Shot
853,8026,Jump Shot
854,22562,Jump Shot
855,2993,Jump Shot
856,27839,Jump Shot
857,2648,Jump Shot
858,10878,Jump Shot
859,30544,Jump Shot
860,20508,Jump Shot
861,6135,Jump Shot
862,13615,Layup Shot
863,8458,Jump Shot
864,7326,Jump Shot
865,1599,Jump Shot
866,10561,Jump Shot
867,10951,Jump Shot
868,2277,Jump Shot
869,28531,Driving Layup Shot
870,1890,Jump Shot
871,7546,Layup Shot
872,29761,Jump Shot
873,22313,Driving Layup Shot
874,24387,Jump Shot
875,15444,Jump Shot
876,6634,Jump Shot
877,2684,Jump Shot
878,15273,Jump Shot
879,28308,Layup Shot
880,9164,Jump Shot
881,16445,Jump Shot
882,13083,Layup Shot
883,27667,Driving Layup Shot
884,21211,Jump Shot
885,15432,Jump Shot
886,26468,Jump Shot
887,21047,Jump Shot
888,11959,Jump Shot
889,28591,Jump Shot
890,23368,Jump Shot
891,18004,Layup Shot
892,8158,Jump Shot
893,1960,Jump Shot
894,2933,Jump Shot
895,16585,Jump Shot
896,27175,Jump Shot
897,30396,Jump Shot
898,11536,Jump Shot
899,21980,Jump Shot
900,1228,Jump Shot
901,30244,Jump Shot
902,22454,Jump Shot
903,748,Jump Shot
904,3770,Jump Shot
905,23202,Jump Shot
906,12718,Jump Shot
907,2908,Layup Shot
908,29677,Jump Shot
909,6464,Driving Layup Shot
910,20772,Jump Shot
911,13956,Layup Shot
912,24913,Jump Shot
913,5679,Jump Shot
914,15019,Driving Layup Shot
915,14304,Jump Shot
916,24244,Layup Shot
917,10057,Jump Shot
918,27506,Jump Shot
919,3639,Layup Shot
920,21865,Jump Shot
921,11181,Jump Shot
922,29250,Driving Layup Shot
923,23760,Jump Shot
924,12093,Layup Shot
925,26966,Jump Shot
926,9299,Jump Shot
927,25020,Jump Shot
928,20814,Jump Shot
929,13702,Jump Shot
930,16986,Driving Layup Shot
931,28237,Jump Shot
932,25616,Jump Shot
933,2035,Jump Shot
934,10837,Layup Shot
935,9542,Jump Shot
936,20043,Jump Shot
937,29644,Jump Shot
938,26494,Jump Shot
939,9935,Jump Shot
940,17081,Jump Shot
941,844,Jump Shot
942,2143,Jump Shot
943,18786,Jump Shot
944,16972,Jump Shot
945,11492,Layup Shot
946,17453,Jump Shot
947,3319,Jump Shot
948,18057,Jump Shot
949,19645,Jump Shot
950,26376,Jump Shot
951,12660,Jump Shot
952,14650,Jump Shot
953,5223,Jump Shot
954,15976,Jump Shot
955,16330,Jump Shot
956,27598,Jump Shot
957,16624,Layup Shot
958,1661,Jump Shot
959,26690,Jump Shot
960,9126,Jump Shot
961,8484,Jump Shot
962,17761,Jump Shot
963,6920,Jump Shot
964,28194,Jump Shot
965,22685,Jump Shot
966,13315,Driving Layup Shot
967,16264,Driving Layup Shot
968,3875,Jump Shot
969,22882,Jump Shot
970,8828,Jump Shot
971,30554,Jump Shot
972,21144,Jump Shot
973,8506,Jump Shot
974,27991,Driving Layup Shot
975,2542,Jump Shot
976,17546,Driving Layup Shot
977,29160,Jump Shot
978,11508,Jump Shot
979,28697,Jump Shot
980,7768,Layup Shot
981,13084,Jump Shot
982,244,Jump Shot
983,7610,Jump Shot
984,15046,Jump Shot
985,19994,Jump Shot
986,12981,Jump Shot
987,12354,Jump Shot
988,1636,Driving Layup Shot
989,24290,Jump Shot
990,21657,Jump Shot
991,20570,Layup Shot
992,24311,Jump Shot
993,24375,Jump Shot
994,26734,Jump Shot
995,26759,Jump Shot
996,1091,Jump Shot
997,18307,Jump Shot
998,13061,Jump Shot
999,9890,Jump Shot
1000,5095,Driving Layup Shot
1001,28581,Driving Layup Shot
1002,4708,Jump Shot
1003,20693,Driving Layup Shot
1004,26786,Layup Shot
1005,21239,Jump Shot
1006,4646,Jump Shot
1007,17188,Jump Shot
1008,30047,Jump Shot
1009,18873,Jump Shot
1010,9001,Jump Shot
1011,13765,Jump Shot
1012,7673,Jump Shot
1013,29492,Jump Shot
1014,2042,Jump Shot
1015,13515,Jump Shot
1016,9608,Jump Shot
1017,26399,Jump Shot
1018,6877,Jump Shot
1019,14144,Jump Shot
1020,13443,Jump Shot
1021,3397,Jump Shot
1022,21219,Jump Shot
1023,29441,Driving Layup Shot
1024,937,Layup Shot
1025,10516,Jump Shot
1026,5036,Jump Shot
1027,15548,Jump Shot
1028,2468,Jump Shot
1029,12637,Jump Shot
1030,27086,Jump Shot
1031,25882,Driving Layup Shot
1032,23039,Jump Shot
1033,28386,Jump Shot
1034,24901,Jump Shot
1035,13815,Jump Shot
1036,18319,Jump Shot
1037,6405,Layup Shot
1038,18235,Jump Shot
1039,6166,Jump Shot
1040,8820,Jump Shot
1041,13358,Jump Shot
1042,21618,Jump Shot
1043,24997,Jump Shot
1044,20782,Jump Shot
1045,12355,Jump Shot
1046,15908,Jump Shot
1047,22961,Jump Shot
1048,21965,Driving Layup Shot
1049,17170,Driving Layup Shot
1050,18493,Jump Shot
1051,29154,Driving Layup Shot
1052,4514,Driving Layup Shot
1053,30164,Jump Shot
1054,17705,Jump Shot
1055,517,Jump Shot
1056,17739,Jump Shot
1057,11428,Jump Shot
1058,25821,Jump Shot
1059,2282,Driving Layup Shot
1060,17327,Jump Shot
1061,27927,Jump Shot
1062,28600,Jump Shot
1063,25705,Jump Shot
1064,10277,Jump Shot
1065,15163,Jump Shot
1066,22184,Jump Shot
1067,9892,Jump Shot
1068,17004,Jump Shot
1069,20968,Jump Shot
1070,14406,Jump Shot
1071,23319,Jump Shot
1072,4085,Jump Shot
1073,217,Driving Layup Shot
1074,3283,Jump Shot
1075,29261,Layup Shot
1076,14172,Jump Shot
1077,2961,Jump Shot
1078,6539,Jump Shot
1079,11870,Jump Shot
1080,26184,Layup Shot
1081,26548,Jump Shot
1082,16727,Jump Shot
1083,27294,Jump Shot
1084,5733,Driving Layup Shot
1085,20857,Jump Shot
1086,11254,Jump Shot
1087,12190,Jump Shot
1088,24393,Jump Shot
1089,21496,Jump Shot
1090,13711,Jump Shot
1091,22322,Driving Layup Shot
1092,26609,Driving Layup Shot
1093,20628,Jump Shot
1094,3917,Layup Shot
1095,16334,Jump Shot
1096,1805,Jump Shot
1097,29124,Jump Shot
1098,12073,Jump Shot
1099,28270,Jump Shot
1100,7748,Jump Shot
1101,7319,Driving Layup Shot
1102,26571,Layup Shot
1103,20339,Driving Layup Shot
1104,15295,Jump Shot
1105,1792,Jump Shot
1106,28495,Jump Shot
1107,30039,Jump Shot
1108,21349,Jump Shot
1109,30195,Jump Shot
1110,17669,Layup Shot
1111,9190,Driving Layup Shot
1112,4414,Jump Shot
1113,27715,Layup Shot
1114,15657,Jump Shot
1115,25817,Jump Shot
1116,9133,Jump Shot
1117,10326,Layup Shot
1118,24247,Jump Shot
1119,13838,Jump Shot
1120,24083,Jump Shot
1121,22325,Layup Shot
1122,23899,Jump Shot
1123,6001,Jump Shot
1124,8493,Jump Shot
1125,24180,Layup Shot
1126,14723,Jump Shot
1127,20944,Jump Shot
